postcode,address1,address2,name
6040925,488 Honojimae-cho Nakagyo-Ward ,Kyoto City Kyoto Pref.,Kyoto City Hall
6008799,849-12 Higashiumekoji-cho shimogyo-Ward,Kyoto City Kyoto Pref.,Kyoto Central Post Office
